year,catch,species,scientific_name,english_name
2010,44,SLT,Thunnus spp,Slender tuna
2011,165,SLT,Thunnus spp,Slender tuna
2012,78,SLT,Thunnus spp,Slender tuna
2013,272,SLT,Thunnus spp,Slender tuna
2014,1014,SLT,Thunnus spp,Slender tuna
2015,349,SLT,Thunnus spp,Slender tuna
2016,178,SLT,Thunnus spp,Slender tuna
2017,234,SLT,Thunnus spp,Slender tuna
2018,622,SLT,Thunnus spp,Slender tuna
1950,1501,TUX,Allothunnus fallai,Tuna-like fishes nei
1951,18102,TUX,Allothunnus fallai,Tuna-like fishes nei
1952,21162,TUX,Allothunnus fallai,Tuna-like fishes nei
1953,21198,TUX,Allothunnus fallai,Tuna-like fishes nei
1954,21964,TUX,Allothunnus fallai,Tuna-like fishes nei
1955,22781,TUX,Allothunnus fallai,Tuna-like fishes nei
1956,22604,TUX,Allothunnus fallai,Tuna-like fishes nei
1957,21577,TUX,Allothunnus fallai,Tuna-like fishes nei
1958,25730,TUX,Allothunnus fallai,Tuna-like fishes nei
1959,22756,TUX,Allothunnus fallai,Tuna-like fishes nei
1960,21023,TUX,Allothunnus fallai,Tuna-like fishes nei
1961,38010,TUX,Allothunnus fallai,Tuna-like fishes nei
1962,45782,TUX,Allothunnus fallai,Tuna-like fishes nei
1963,44126,TUX,Allothunnus fallai,Tuna-like fishes nei
1964,62403,TUX,Allothunnus fallai,Tuna-like fishes nei
1965,61982,TUX,Allothunnus fallai,Tuna-like fishes nei
1966,69484,TUX,Allothunnus fallai,Tuna-like fishes nei
1967,76470,TUX,Allothunnus fallai,Tuna-like fishes nei
1968,82236,TUX,Allothunnus fallai,Tuna-like fishes nei
1969,87321,TUX,Allothunnus fallai,Tuna-like fishes nei
1970,48843,TUX,Allothunnus fallai,Tuna-like fishes nei
1971,64442,TUX,Allothunnus fallai,Tuna-like fishes nei
1972,78656,TUX,Allothunnus fallai,Tuna-like fishes nei
1973,92704,TUX,Allothunnus fallai,Tuna-like fishes nei
1974,80175,TUX,Allothunnus fallai,Tuna-like fishes nei
1975,68689,TUX,Allothunnus fallai,Tuna-like fishes nei
1976,78805,TUX,Allothunnus fallai,Tuna-like fishes nei
1977,67823,TUX,Allothunnus fallai,Tuna-like fishes nei
1978,107105,TUX,Allothunnus fallai,Tuna-like fishes nei
1979,89153,TUX,Allothunnus fallai,Tuna-like fishes nei
1980,94342,TUX,Allothunnus fallai,Tuna-like fishes nei
1981,104957,TUX,Allothunnus fallai,Tuna-like fishes nei
1982,110959,TUX,Allothunnus fallai,Tuna-like fishes nei
1983,112578,TUX,Allothunnus fallai,Tuna-like fishes nei
1984,114885,TUX,Allothunnus fallai,Tuna-like fishes nei
1985,132057,TUX,Allothunnus fallai,Tuna-like fishes nei
1986,134050,TUX,Allothunnus fallai,Tuna-like fishes nei
1987,131248,TUX,Allothunnus fallai,Tuna-like fishes nei
1988,126031,TUX,Allothunnus fallai,Tuna-like fishes nei
1989,138556,TUX,Allothunnus fallai,Tuna-like fishes nei
1990,158664,TUX,Allothunnus fallai,Tuna-like fishes nei
1991,161959,TUX,Allothunnus fallai,Tuna-like fishes nei
1992,178641,TUX,Allothunnus fallai,Tuna-like fishes nei
1993,178131,TUX,Allothunnus fallai,Tuna-like fishes nei
1994,155374,TUX,Allothunnus fallai,Tuna-like fishes nei
1995,225504,TUX,Allothunnus fallai,Tuna-like fishes nei
1996,104225,TUX,Allothunnus fallai,Tuna-like fishes nei
1997,183266,TUX,Allothunnus fallai,Tuna-like fishes nei
1998,205002,TUX,Allothunnus fallai,Tuna-like fishes nei
1999,218868,TUX,Allothunnus fallai,Tuna-like fishes nei
2000,107658,TUX,Allothunnus fallai,Tuna-like fishes nei
2001,92596,TUX,Allothunnus fallai,Tuna-like fishes nei
2002,53105,TUX,Allothunnus fallai,Tuna-like fishes nei
2003,126265,TUX,Allothunnus fallai,Tuna-like fishes nei
2004,111878,TUX,Allothunnus fallai,Tuna-like fishes nei
2005,98606,TUX,Allothunnus fallai,Tuna-like fishes nei
2006,75963,TUX,Allothunnus fallai,Tuna-like fishes nei
2007,91398,TUX,Allothunnus fallai,Tuna-like fishes nei
2008,125370,TUX,Allothunnus fallai,Tuna-like fishes nei
2009,148512,TUX,Allothunnus fallai,Tuna-like fishes nei
2010,178079,TUX,Allothunnus fallai,Tuna-like fishes nei
2011,417649,TUX,Allothunnus fallai,Tuna-like fishes nei
2012,447896,TUX,Allothunnus fallai,Tuna-like fishes nei
2013,498563,TUX,Allothunnus fallai,Tuna-like fishes nei
2014,389246,TUX,Allothunnus fallai,Tuna-like fishes nei
2015,391321,TUX,Allothunnus fallai,Tuna-like fishes nei
2016,429233,TUX,Allothunnus fallai,Tuna-like fishes nei
2017,431493.46,TUX,Allothunnus fallai,Tuna-like fishes nei
2018,333704.07,TUX,Allothunnus fallai,Tuna-like fishes nei
